SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,NAMEPCAP,PLNGENAN,PLCO2EQA
4011,MA,Easton Landfill,42.010278,-71.092222,SUN,1.90,2654.00,0.00
4012,MA,EBZ Solar,42.570556,-71.625000,SUN,2.50,3962.00,0.00
4013,MA,EDF Lancaster,42.529167,-71.665278,SUN,4.50,6947.00,0.00
4014,MA,Equity Industrial Turbines,42.625649,-70.656489,WND,4.00,8548.00,0.00
4015,MA,Erving Paper Mills,42.598300,-72.387500,NG,8.70,42097.46,12840.62
4016,MA,Exelon Edgar LLC,42.241544,-70.964889,DFO,28.40,0.00,0.00
4017,MA,Exelon L Street Generating Station,42.339200,-71.035300,DFO,18.60,539.00,950.05
4018,MA,Exelon West Medway II LLC,42.137218,-71.444700,NG,200.00,0.00,0.00
4019,MA,Fairhaven C,41.663030,-70.863230,SUN,1.60,0.00,0.00
4020,MA,Fairhaven Wind,41.639061,-70.873372,WND,3.00,5230.00,0.00
4021,MA,Fairview Farms Solar,42.459722,-72.610278,SUN,2.00,2504.00,0.00
4022,MA,Fall River Solar,41.751347,-71.114536,SUN,2.00,2877.00,0.00
4023,MA,Farley Road Solar,42.100000,-72.000000,SUN,1.90,0.00,0.00
4024,MA,Federal Road Solar 1 LLC,41.806894,-70.725717,SUN,4.40,6418.00,0.00
4025,MA,Fife Brook,42.685681,-72.977634,WAT,11.20,21893.00,0.00
4026,MA,Fisher Road Solar,41.593314,-71.018053,SUN,4.60,8563.00,0.00
4027,MA,Fitchburg Gas Recovery,42.535393,-71.848058,LFG,4.80,34542.00,0.00
4028,MA,Fore River Energy Center,42.242200,-70.966100,NG,872.20,3840719.00,1660170.74
4029,MA,Framingham State University Plant,42.297949,-71.436065,SUN,3.30,115.00,15.65
4030,MA,Framingham Station,42.267200,-71.398300,DFO,42.60,808.00,1825.00
4031,MA,Franklin 1,42.040556,-71.393611,SUN,3.00,4911.00,0.00
4032,MA,Franklin 2,42.054167,-71.391667,SUN,4.00,6413.00,0.00
4033,MA,Freetown Solar,41.766389,-70.980833,SUN,5.00,7936.00,0.00
4034,MA,Front Street,42.148300,-72.591100,DFO,8.10,188.00,160.68
4035,MA,Future Generation Wind,41.774444,-70.615833,WND,8.00,8430.00,0.00
4036,MA,Gardner Solar 1,42.586389,-72.030833,SUN,2.00,3437.00,0.00
4037,MA,Gardners Falls,42.591400,-72.730800,WAT,3.50,0.00,0.00
4038,MA,General Electric Aircraft,42.450000,-70.973900,NG,55.70,57113.00,12929.02
4039,MA,Gillette SBMC,42.343600,-71.055900,NG,21.30,68566.00,19519.96
4040,MA,Golden Hills Solar,42.400000,-72.000000,SUN,4.70,0.00,0.00
4041,MA,Grafton PV,42.225504,-71.662614,SUN,2.70,0.00,0.00
4042,MA,Grafton Solar,42.199167,-71.679167,SUN,1.50,2334.00,0.00
4043,MA,Granby LFG,42.227281,-72.547189,LFG,3.20,14102.00,0.00
4044,MA,Green Meadows,41.669444,-70.531944,SUN,3.50,5836.00,0.00
